symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2020-04-27 00:00:00+00:00,20.24,20.24,20.24,20.24,0,19.9714520436,19.9714520436,19.9714520436,19.9714520436,0,0.0,1.0
NASDX,2020-04-28 00:00:00+00:00,19.88,19.88,19.88,19.88,0,19.6162285882,19.6162285882,19.6162285882,19.6162285882,0,0.0,1.0
NASDX,2020-04-29 00:00:00+00:00,20.58,20.58,20.58,20.58,0,20.3069408625,20.3069408625,20.3069408625,20.3069408625,0,0.0,1.0
NASDX,2020-04-30 00:00:00+00:00,20.62,20.62,20.62,20.62,0,20.3464101353,20.3464101353,20.3464101353,20.3464101353,0,0.0,1.0
NASDX,2020-05-01 00:00:00+00:00,19.97,19.97,19.97,19.97,0,19.7050344521,19.7050344521,19.7050344521,19.7050344521,0,0.0,1.0
NASDX,2020-05-04 00:00:00+00:00,20.23,20.23,20.23,20.23,0,19.9615847253,19.9615847253,19.9615847253,19.9615847253,0,0.0,1.0
NASDX,2020-05-05 00:00:00+00:00,20.45,20.45,20.45,20.45,0,20.1786657258,20.1786657258,20.1786657258,20.1786657258,0,0.0,1.0
NASDX,2020-05-06 00:00:00+00:00,20.58,20.58,20.58,20.58,0,20.3069408625,20.3069408625,20.3069408625,20.3069408625,0,0.0,1.0
NASDX,2020-05-07 00:00:00+00:00,20.84,20.84,20.84,20.84,0,20.5634911358,20.5634911358,20.5634911358,20.5634911358,0,0.0,1.0
NASDX,2020-05-08 00:00:00+00:00,21.12,21.12,21.12,21.12,0,20.8397760454,20.8397760454,20.8397760454,20.8397760454,0,0.0,1.0
NASDX,2020-05-11 00:00:00+00:00,21.29,21.29,21.29,21.29,0,21.0075204549,21.0075204549,21.0075204549,21.0075204549,0,0.0,1.0
NASDX,2020-05-12 00:00:00+00:00,20.87,20.87,20.87,20.87,0,20.5930930904,20.5930930904,20.5930930904,20.5930930904,0,0.0,1.0
NASDX,2020-05-13 00:00:00+00:00,20.61,20.61,20.61,20.61,0,20.3365428171,20.3365428171,20.3365428171,20.3365428171,0,0.0,1.0
NASDX,2020-05-14 00:00:00+00:00,20.83,20.83,20.83,20.83,0,20.5536238175,20.5536238175,20.5536238175,20.5536238175,0,0.0,1.0
NASDX,2020-05-15 00:00:00+00:00,20.96,20.96,20.96,20.96,0,20.6818989542,20.6818989542,20.6818989542,20.6818989542,0,0.0,1.0
NASDX,2020-05-18 00:00:00+00:00,21.37,21.37,21.37,21.37,0,21.0864590005,21.0864590005,21.0864590005,21.0864590005,0,0.0,1.0
NASDX,2020-05-19 00:00:00+00:00,21.3,21.3,21.3,21.3,0,21.0173877731,21.0173877731,21.0173877731,21.0173877731,0,0.0,1.0
NASDX,2020-05-20 00:00:00+00:00,21.73,21.73,21.73,21.73,0,21.4416824558,21.4416824558,21.4416824558,21.4416824558,0,0.0,1.0
NASDX,2020-05-21 00:00:00+00:00,21.49,21.49,21.49,21.49,0,21.204866819,21.204866819,21.204866819,21.204866819,0,0.0,1.0
